Country,Latte Price,Exchange Rate,PPP Exchange Rate (USD),Currency Valuation,dollar_price,Higher PPP
australia,6.88,1.0,1.4700854700854702,Overvalued,1.54166666666667,Big Mac
brazil,16.86,1.0,3.602564102564102,Overvalued,1.64804469273743,Starbucks
canada,10.35,1.0,2.2115384615384617,Overvalued,1.93877551020408,Starbucks
chile,11684.62,1.0,2496.7136752136757,Overvalued,2.45136186770428,Starbucks
colombia,27400.0,1.0,5854.700854700855,Overvalued,2.34671441929649,Starbucks
czech republic,165.0,1.0,35.256410256410255,Overvalued,1.39053708439898,Starbucks
hungary,2190.0,1.0,467.9487179487179,Overvalued,1.21505376344086,Starbucks
poland,10.9,1.0,2.3290598290598292,Overvalued,1.27906976744186,Starbucks
south africa,48.0,1.0,10.256410256410255,Overvalued,1.33928571428571,Starbucks
united states,5.03,1.0,1.074786324786325,Overvalued,2.24,Big Mac
